ID,fileName,startFrame,endFrame
32,32_F2_D3,2827.9036,3581.45752
32,32_F2_D3,3581.45752,4104.21808
32,32_F2_D3,4104.21808,4985.68156
32,32_F2_D3,4985.68156,5633.57104
32,32_F2_D3,5633.57104,6314.82832
32,32_F2_D3,6314.82832,6926.56948
32,32_F2_D3,6926.56948,7452.11068
32,32_F2_D3,8216.78716,8931.41212
32,32_F2_D3,8931.41212,9568.17904
32,32_F2_D3,9568.17904,10277.24272
32,32_F2_D3,10277.24272,10919.57092
32,32_F2_D3,10919.57092,11648.09896
32,32_F2_D3,11648.09896,12482.29156
32,32_F2_D3,12482.29156,12955.0006
33,33_H2_F2,1436.75336,2096.70416
33,33_H2_F2,2096.70416,2641.13036
33,33_H2_F2,2641.13036,3298.42544
33,33_H2_F2,3298.42544,4008.83528
33,33_H2_F2,4008.83528,4575.83516
33,33_H2_F2,4575.83516,5118.93356
33,33_H2_F2,5118.93356,5679.2942
33,33_H2_F2,5679.2942,6316.6712
33,33_H2_F2,6316.6712,6932.80232
33,33_H2_F2,6932.80232,7414.81868
33,33_H2_F2,7414.81868,8127.88424
33,33_H2_F2,8127.88424,8574.0482
33,33_H2_F2,8574.0482,9107.8514
33,33_H2_F2,9107.8514,9527.45792
33,33_H2_F2,9527.45792,10013.45792
33,33_H2_F2,10013.45792,10379.94968
33,33_H2_F2,11087.7038,11917.62176
33,33_H2_F2,11917.62176,12314.6546
34,34_D3_D2,648.48848,1322.04836
34,34_D3_D2,1322.04836,2397.67736
34,34_D3_D2,2397.67736,3273.21116
34,34_D3_D2,3273.21116,4291.53584
34,34_D3_D2,4291.53584,5024.27876
34,34_D3_D2,5024.27876,5911.0856
34,34_D3_D2,5911.0856,7066.56476
34,34_D3_D2,7066.56476,7690.33556
34,34_D3_D2,8312.22764,8913.4526
34,34_D3_D2,8913.4526,9674.37788
34,34_D3_D2,9674.37788,10910.64668
34,34_D3_D2,10910.64668,11408.53604
34,34_D3_D2,12379.89008,13242.27212
34,34_D3_D2,13242.27212,13973.1362
34,34_D3_D2,13973.1362,14771.63804
34,34_D3_D2,14771.63804,15491.2292
34,34_D3_D2,15491.2292,16068.02936
34,34_D3_D2,16068.02936,16969.8668
34,34_D3_D2,16969.8668,17559.81872
35,35_C2_D2,740.5268,1373.27408
35,35_C2_D2,1373.27408,2064.05852
35,35_C2_D2,2064.05852,2620.3664
35,35_C2_D2,2620.3664,3338.0462
35,35_C2_D2,3338.0462,3877.3676
35,35_C2_D2,3877.3676,4495.95944
35,35_C2_D2,4495.95944,5203.73036
35,35_C2_D2,5203.73036,5863.37288
35,35_C2_D2,5863.37288,6586.71476
35,35_C2_D2,6586.71476,7310.05664
35,35_C2_D2,7310.05664,7843.71584
35,35_C2_D2,7843.71584,8591.12204
35,35_C2_D2,8591.12204,9096.47048
35,35_C2_D2,10301.0966,10871.55992
35,35_C2_D2,10871.55992,11651.52344
35,35_C2_D2,11651.52344,12679.20692
35,35_C2_D2,12679.20692,13255.33244
36,36_I3_C3,681.83228,1400.99708
36,36_I3_C3,1400.99708,2054.0318
36,36_I3_C3,2054.0318,2709.82184
36,36_I3_C3,2775.95192,3577.77944
36,36_I3_C3,3577.77944,4283.16704
36,36_I3_C3,4283.16704,4904.51444
36,36_I3_C3,4904.51444,5536.88348
36,36_I3_C3,5536.88348,6271.20308
36,36_I3_C3,6271.20308,6767.1788
36,36_I3_C3,6767.1788,7462.92248
36,36_I3_C3,7462.92248,7921.70012
36,36_I3_C3,7921.70012,8744.19308
36,36_I3_C3,8744.19308,9321.4538
36,36_I3_C3,9321.4538,9960.71132
36,36_I3_C3,9960.71132,10610.9906
36,36_I3_C3,10610.9906,11418.32888
36,36_I3_C3,11418.32888,12264.24308
36,36_I3_C3,12264.24308,12728.53136
3,3_N1_N1,747.6176,1058.8592
3,3_N1_N1,1058.8592,1432.22348
3,3_N1_N1,1432.22348,1735.93496
3,3_N1_N1,1735.93496,2055.96164
3,3_N1_N1,2055.96164,2368.4582
3,3_N1_N1,2368.4582,2816.49536
3,3_N1_N1,2816.49536,3046.16156
3,3_N1_N1,3046.16156,3443.99852
3,3_N1_N1,3443.99852,3781.59512
3,3_N1_N1,3781.59512,4132.99688
3,3_N1_N1,4132.99688,4430.43332
3,3_N1_N1,4430.43332,4893.5306
3,3_N1_N1,4893.5306,5148.29696
3,3_N1_N1,5148.29696,5549.89892
3,3_N1_N1,5549.89892,5820.98024
3,3_N1_N1,5820.98024,6232.62224
3,3_N1_N1,6232.62224,6453.50336
3,3_N1_N1,6453.50336,6789.845
4-2,4_N2_I2_000,779.7962,1400.69996
4-2,4_N2_I2_000,1400.69996,1867.42664
4-2,4_N2_I2_000,2496.72092,3066.23228
4-2,4_N2_I2_000,3066.23228,3655.67132
4-2,4_N2_I2_000,3655.67132,4142.32568
4-2,4_N2_I2_000,4142.32568,4790.49884
4-2,4_N2_I2_000,4790.49884,5255.1278
4-2,4_N2_I2_000,5255.1278,5792.12564
4-2,4_N2_I2_000,5792.12564,6242.07116
4-2,4_N2_I2_000,6242.07116,6523.15592
4-2,4_N2_I2_000,7257.3326,7726.15688
4-2,4_N2_I2_000,7726.15688,8613.46196
4-2,4_N2_I2_000,8613.46196,9118.99508
4-2,4_N2_I2_000,9118.99508,9792.34004
4-2,4_N2_I2_000,9792.34004,10327.24016
4-2,4_N2_I2_000,10327.24016,10969.1204
4-2,4_N2_I2_000,10969.1204,11533.38776
4-2,4_N2_I2_000,11533.38776,12114.43616
5,5_N1_I3,744.17672,1407.43712
5,5_N1_I3,1407.43712,2076.22484
